"ENTREZID","ENSEMBL","SYMBOL"
"74918","ENSMUSG00000026301","Iqca"
"171531","ENSMUSG00000026303","Mlph"
"16978","ENSMUSG00000026305","Lrrfip1"
"13345","ENSMUSG00000007805","Twist2"
"259041","ENSMUSG00000042849","Olfr1414"
"259039","ENSMUSG00000058904","Olfr1413"
"260301","ENSMUSG00000044055","Otos"
"14733","ENSMUSG00000034220","Gpc1"
"381284","ENSMUSG00000084989","Crocc2"
"102466630","ENSMUSG00000098689","Mir6345"
"227377","ENSMUSG00000034066","Farp2"
"51800","ENSMUSG00000026278","Bok"
"381334","ENSMUSG00000094651","Gal3st2"
"100041596","ENSMUSG00000093805","Gal3st2b"
"619597","ENSMUSG00000073608","Gal3st2c"
"18566","ENSMUSG00000026285","Pdcd1"
"74689","ENSMUSG00000100518","4930440C22Rik"
"20452","ENSMUSG00000040710","St8sia4"
"75381","ENSMUSG00000100777","4930598F16Rik"
"73454","ENSMUSG00000100062","1700063A18Rik"
"75159","ENSMUSG00000100589","4930533P14Rik"
"18484","ENSMUSG00000026335","Pam"
"78603","ENSMUSG00000089706","B230216N24Rik"
"69030","ENSMUSG00000100182","1810006J02Rik"
"102634194","ENSMUSG00000100711","Gm29461"
"241175","ENSMUSG00000067028","Cntnap5b"
"23836","ENSMUSG00000050840","Cdh20"
"100504568","ENSMUSG00000097482","Gm17634"
"21934","ENSMUSG00000026321","Tnfrsf11a"
"635504","ENSMUSG00000099843","Gm7160"
"227449","ENSMUSG00000038866","Zcchc2"
"626049","ENSMUSG00000101583","Gm20753"
"98432","ENSMUSG00000044340","Phlpp1"
"102466254","ENSMUSG00000098344","Mir3473f"
"12043","ENSMUSG00000057329","Bcl2"
"20724","ENSMUSG00000067006","Serpinb5"
"71869","ENSMUSG00000059956","Serpinb12"
"241196","ENSMUSG00000048775","Serpinb13"
"20248","ENSMUSG00000044594","Serpinb3a"
"394252","ENSMUSG00000058017","Serpinb3d"
"383548","ENSMUSG00000073602","Serpinb3b"
"381286","ENSMUSG00000073601","Serpinb3c"
"66957","ENSMUSG00000026327","Serpinb11"
"116872","ENSMUSG00000067001","Serpinb7"
"18788","ENSMUSG00000062345","Serpinb2"
"241197","ENSMUSG00000092572","Serpinb10"
"20725","ENSMUSG00000026315","Serpinb8"
"319596","ENSMUSG00000100457","D830032E09Rik"
"241201","ENSMUSG00000026312","Cdh7"
"227485","ENSMUSG00000047216","Cdh19"
"319901","ENSMUSG00000038702","Dsel"
"81879","ENSMUSG00000026380","Tfcp2l1"
"16324","ENSMUSG00000037035","Inhbb"
"64143","ENSMUSG00000004451","Ralb"
"68428","ENSMUSG00000026389","Steap3"
"226359","ENSMUSG00000036907","C1ql2"
"13798","ENSMUSG00000058665","En1"
"98452","ENSMUSG00000097881","Celrr"
"269109","ENSMUSG00000036815","Dpp10"
"71111","ENSMUSG00000026343","Gpr39"
"210356","ENSMUSG00000049690","Nckap5"
"72160","ENSMUSG00000026347","Tmem163"
"266645","ENSMUSG00000026348","Acmsd"
"22625","ENSMUSG00000051590","Map3k19"
"22789","ENSMUSG00000042554","Zp3r"
"12269","ENSMUSG00000026405","C4bp"
"212439","ENSMUSG00000042510","AA986860"
"433347","ENSMUSG00000100106","Gm28856"
"69169","ENSMUSG00000042474","Fcmr"
"93672","ENSMUSG00000026420","Il24"
"58181","ENSMUSG00000026416","Il20"
"329244","ENSMUSG00000016524","Il19"
"56489","ENSMUSG00000042349","Ikbke"
"26361","ENSMUSG00000026432","Avpr1b"
"13034","ENSMUSG00000004552","Ctse"
"226421","ENSMUSG00000052688","Rab7b"
"212933","ENSMUSG00000042251","Pm20d1"
"226422","ENSMUSG00000026433","Rab29"
"212980","ENSMUSG00000026435","Slc45a3"
"213006","ENSMUSG00000059149","Mfsd4a"
"18557","ENSMUSG00000026437","Cdk18"
"213409","ENSMUSG00000079330","Lemd1"
"68875","ENSMUSG00000042066","Tmcc2"
"21367","ENSMUSG00000053024","Cntn2"
"16980","ENSMUSG00000026443","Lrrn2"
"240753","ENSMUSG00000041757","Plekha6"
"68338","ENSMUSG00000103421","Golt1a"
"280287","ENSMUSG00000116158","Kiss1"
"280287","ENSMUSG00000115958","Kiss1"
"214253","ENSMUSG00000070644","Etnk2"
"20668","ENSMUSG00000070643","Sox13"
"269120","ENSMUSG00000010311","Optc"
"116847","ENSMUSG00000041577","Prelp"
"14264","ENSMUSG00000041559","Fmod"
"12227","ENSMUSG00000020423","Btg2"
"71884","ENSMUSG00000026450","Chit1"
"12654","ENSMUSG00000064246","Chil1"
"11539","ENSMUSG00000042429","Adora1"
"17928","ENSMUSG00000026459","Myog"
"68507","ENSMUSG00000026458","Ppfia4"
"72017","ENSMUSG00000026456","Cyb5r1"
"71001","ENSMUSG00000046367","Mgat4e"
