"ENTREZID","ENSEMBL","SYMBOL"
"68066","ENSMUSG00000018677","Slc25a39"
"52715","ENSMUSG00000020925","Ccdc43"
"20624","ENSMUSG00000020929","Eftud2"
"68087","ENSMUSG00000020935","Dcakd"
"18107","ENSMUSG00000020936","Nmt1"
"67131","ENSMUSG00000056938","Acbd4"
"328019","ENSMUSG00000044787","Spata32"
"69444","ENSMUSG00000020945","Lyzl6"
"67803","ENSMUSG00000040699","Limd2"
"67163","ENSMUSG00000078622","Ccdc47"
"19184","ENSMUSG00000020708","Psmc5"
"28081","ENSMUSG00000041629","Fam104a"
"276852","ENSMUSG00000041623","D11Wsu47e"
"432611","ENSMUSG00000034706","Dnaic2"
"286942","ENSMUSG00000010021","Kif19a"
"320534","ENSMUSG00000045980","Tmem104"
"14149","ENSMUSG00000018861","Fdxr"
"237988","ENSMUSG00000050910","Cdr2l"
"445007","ENSMUSG00000020739","Nup85"
"57230","ENSMUSG00000020755","Sap30bp"
"22378","ENSMUSG00000034341","Wbp2"
"338364","ENSMUSG00000054517","Trim65"
"11430","ENSMUSG00000020777","Acox1"
"217337","ENSMUSG00000020780","Srp68"
"53413","ENSMUSG00000020792","Exoc7"
"217341","ENSMUSG00000070331","Qrich2"
"100038570","ENSMUSG00000075410","Prcd"
"66293","ENSMUSG00000020812","Snhg16"
"20446","ENSMUSG00000057286","St6galnac2"
"107817","ENSMUSG00000056962","Jmjd6"
"102465258","ENSMUSG00000104740","Mir6516"
"74451","ENSMUSG00000017715","Pgs1"
"76025","ENSMUSG00000025575","Cant1"
"207607","ENSMUSG00000039963","Ccdc40"
"14387","ENSMUSG00000025579","Gaa"
"12009","ENSMUSG00000039781","Cep131"
"11465","ENSMUSG00000062825","Actg1"
"66838","ENSMUSG00000043644","0610009L18Rik"
"66431","ENSMUSG00000039670","Oxld1"
"15239","ENSMUSG00000025793","Hgs"
"56282","ENSMUSG00000039640","Mrpl12"
"18453","ENSMUSG00000025130","P4hb"
"66156","ENSMUSG00000025135","Anapc11"
"68671","ENSMUSG00000025137","Pcyt2"
"17134","ENSMUSG00000051510","Mafg"
"20892","ENSMUSG00000025144","Cenpx"
"209318","ENSMUSG00000025156","Gps1"
"217370","ENSMUSG00000039294","Cybc1"
"238037","ENSMUSG00000051721","Wdcp"
"194655","ENSMUSG00000020653","Klf11"
"22169","ENSMUSG00000020638","Cmpk2"
"20115","ENSMUSG00000061477","Rps7"
"380753","ENSMUSG00000020564","Atxn7l1"
"75040","ENSMUSG00000020562","Efcab10"
"100316693","ENSMUSG00000089371","Mir1938"
"11782","ENSMUSG00000020955","Ap4s1"
"328092","ENSMUSG00000020956","Dtd2"
"59032","ENSMUSG00000021022","Ppp2r3c"
"30795","ENSMUSG00000020949","Fkbp3"
"69706","ENSMUSG00000034883","Lrr1"
"414085","ENSMUSG00000097061","9330151L19Rik"
"238276","ENSMUSG00000021057","Akap5"
"210762","ENSMUSG00000052221","Ppp1r36"
"13665","ENSMUSG00000021116","Eif2s1"
"67039","ENSMUSG00000010608","Rbm25"
"217705","ENSMUSG00000021234","Fam161b"
"66381","ENSMUSG00000098134","Rnf113a2"
"217715","ENSMUSG00000004788","Eif2b2"
"81703","ENSMUSG00000034271","Jdp2"
"14874","ENSMUSG00000021033","Gstz1"
"66354","ENSMUSG00000021039","Snw1"
"75553","ENSMUSG00000021012","Zc3h14"
"320351","ENSMUSG00000046675","Tmem251"
"100504156","ENSMUSG00000096753","Fam181a"
"68149","ENSMUSG00000021203","Otub2"
"192119","ENSMUSG00000041415","Dicer1"
"69434","ENSMUSG00000113722","Snhg10"
"72805","ENSMUSG00000021271","Zfp839"
"328162","ENSMUSG00000060950","Trmt61a"
"70369","ENSMUSG00000049792","Bag5"
"68520","ENSMUSG00000021286","Zfyve21"
"70257","ENSMUSG00000021290","Atp5mpl"
"66174","ENSMUSG00000002804","Nudt14"
"319545","ENSMUSG00000112980","D430020J02Rik"
"494124","ENSMUSG00000099269","Calm5"
"238463","ENSMUSG00000021216","Tubal3"
"14593","ENSMUSG00000021302","Ggps1"
"19166","ENSMUSG00000015671","Psma2"
"432731","ENSMUSG00000022228","Zscan26"
"93681","ENSMUSG00000063894","Zkscan8"
"193452","ENSMUSG00000006720","Zfp184"
"319158","ENSMUSG00000060639","H4c9"
"30946","ENSMUSG00000036376","Abt1"
"260423","ENSMUSG00000100210","H3c7"
