"ENTREZID","ENSEMBL","SYMBOL"
"394436","ENSMUSG00000089960","Ugt1a1"
"100040766","ENSMUSG00000079429","Mroh2a"
"75396","ENSMUSG00000026295","Spp2"
"14659","ENSMUSG00000062310","Glrp1"
"100503197","ENSMUSG00000100798","Gm19589"
"78650","ENSMUSG00000097398","Platr5"
"73475","ENSMUSG00000099378","1700067G17Rik"
"74918","ENSMUSG00000026301","Iqca"
"108679","ENSMUSG00000034432","Cops8"
"623503","ENSMUSG00000090550","Prlh"
"19329","ENSMUSG00000026304","Rab17"
"329207","ENSMUSG00000070732","Rbm44"
"51801","ENSMUSG00000034353","Ramp1"
"67921","ENSMUSG00000034343","Ube2f"
"227357","ENSMUSG00000049515","Espnl"
"67086","ENSMUSG00000100253","1700020N18Rik"
"18627","ENSMUSG00000055866","Per2"
"74019","ENSMUSG00000034292","Traf3ip1"
"208727","ENSMUSG00000026313","Hdac4"
"67273","ENSMUSG00000026260","Ndufa10"
"259040","ENSMUSG00000067064","Olfr1416"
"259041","ENSMUSG00000042849","Olfr1414"
"259039","ENSMUSG00000058904","Olfr1413"
"258274","ENSMUSG00000046300","Olfr1412"
"258483","ENSMUSG00000062497","Olfr1411"
"260301","ENSMUSG00000044055","Otos"
"387167","ENSMUSG00000065470","Mir149"
"241158","ENSMUSG00000034212","Ankmy1"
"64095","ENSMUSG00000026271","Gpr35"
"11611","ENSMUSG00000026272","Agxt"
"71874","ENSMUSG00000034159","Mab21l4"
"381284","ENSMUSG00000084989","Crocc2"
"102465543","ENSMUSG00000098997","Mir6901"
"404545","ENSMUSG00000034107","Ano7"
"59041","ENSMUSG00000026277","Stk25"
"51800","ENSMUSG00000026278","Bok"
"381334","ENSMUSG00000094651","Gal3st2"
"100041596","ENSMUSG00000093805","Gal3st2b"
"619597","ENSMUSG00000073608","Gal3st2c"
"74689","ENSMUSG00000100518","4930440C22Rik"
"75381","ENSMUSG00000100777","4930598F16Rik"
"73454","ENSMUSG00000100062","1700063A18Rik"
"75159","ENSMUSG00000100589","4930533P14Rik"
"67854","ENSMUSG00000045463","Slco6b1"
"74441","ENSMUSG00000026331","Slco6c1"
"52392","ENSMUSG00000044768","D1Ertd622e"
"227399","ENSMUSG00000040648","Ppip5k2"
"78603","ENSMUSG00000089706","B230216N24Rik"
"69030","ENSMUSG00000100182","1810006J02Rik"
"102634194","ENSMUSG00000100711","Gm29461"
"70866","ENSMUSG00000026336","Slco6d1"
"27392","ENSMUSG00000056536","Pign"
"635504","ENSMUSG00000099843","Gm7160"
"227449","ENSMUSG00000038866","Zcchc2"
"626049","ENSMUSG00000101583","Gm20753"
"102466254","ENSMUSG00000098344","Mir3473f"
"70750","ENSMUSG00000009905","Kdsr"
"20479","ENSMUSG00000009907","Vps4b"
"20724","ENSMUSG00000067006","Serpinb5"
"71869","ENSMUSG00000059956","Serpinb12"
"241196","ENSMUSG00000048775","Serpinb13"
"20248","ENSMUSG00000044594","Serpinb3a"
"394252","ENSMUSG00000058017","Serpinb3d"
"383548","ENSMUSG00000073602","Serpinb3b"
"381286","ENSMUSG00000073601","Serpinb3c"
"66957","ENSMUSG00000026327","Serpinb11"
"116872","ENSMUSG00000067001","Serpinb7"
"18788","ENSMUSG00000062345","Serpinb2"
"241197","ENSMUSG00000092572","Serpinb10"
"20725","ENSMUSG00000026315","Serpinb8"
"319596","ENSMUSG00000100457","D830032E09Rik"
"241201","ENSMUSG00000026312","Cdh7"
"227485","ENSMUSG00000047216","Cdh19"
"636808","ENSMUSG00000070695","Cntnap5a"
"22099","ENSMUSG00000026374","Tsn"
"67949","ENSMUSG00000026377","Nifk"
"76707","ENSMUSG00000064302","Clasp1"
"81879","ENSMUSG00000026380","Tfcp2l1"
"102465176","ENSMUSG00000098273","Mir6346"
"64143","ENSMUSG00000004451","Ralb"
"320069","ENSMUSG00000101731","3830432H09Rik"
"226352","ENSMUSG00000026383","Epb41l5"
"19258","ENSMUSG00000026384","Ptpn4"
"66343","ENSMUSG00000036975","Tmem177"
"226356","ENSMUSG00000036962","Cfap221"
"170706","ENSMUSG00000050777","Tmem37"
"13167","ENSMUSG00000026385","Dbi"
"73103","ENSMUSG00000026388","3110009E18Rik"
"17167","ENSMUSG00000026390","Marco"
"72999","ENSMUSG00000003721","Insig2"
"70829","ENSMUSG00000026339","Ccdc93"
"66942","ENSMUSG00000001674","Ddx18"
"74117","ENSMUSG00000026341","Actr3"
"74150","ENSMUSG00000026342","Slc35f5"
"71111","ENSMUSG00000026343","Gpr39"
"210356","ENSMUSG00000049690","Nckap5"
"107895","ENSMUSG00000036155","Mgat5"
"266645","ENSMUSG00000026348","Acmsd"
"22625","ENSMUSG00000051590","Map3k19"
"226409","ENSMUSG00000036086","Zranb3"
"226413","ENSMUSG00000026354","Lct"
"226414","ENSMUSG00000026356","Dars"
"12767","ENSMUSG00000045382","Cxcr4"
"13137","ENSMUSG00000026401","Cd55b"
"13136","ENSMUSG00000026399","Cd55"
"22789","ENSMUSG00000042554","Zp3r"
"12269","ENSMUSG00000026405","C4bp"
"212439","ENSMUSG00000042510","AA986860"
"64435","ENSMUSG00000026415","Fcamr"
"18703","ENSMUSG00000026417","Pigr"
"93672","ENSMUSG00000026420","Il24"
"58181","ENSMUSG00000026416","Il20"
"329244","ENSMUSG00000016524","Il19"
"16153","ENSMUSG00000016529","Il10"
"17164","ENSMUSG00000016528","Mapkapk2"
"16865","ENSMUSG00000026427","Eif2d"
"54354","ENSMUSG00000026430","Rassf5"
"56489","ENSMUSG00000042349","Ikbke"
"14270","ENSMUSG00000026425","Srgap2"
"13034","ENSMUSG00000004552","Ctse"
"320718","ENSMUSG00000042268","Slc26a9"
"212933","ENSMUSG00000042251","Pm20d1"
"226422","ENSMUSG00000026433","Rab29"
"98415","ENSMUSG00000026434","Nucks1"
"13714","ENSMUSG00000026436","Elk4"
"68875","ENSMUSG00000042066","Tmcc2"
"213452","ENSMUSG00000042046","Dstyk"
"74626","ENSMUSG00000048174","Tmem81"
"100038653","ENSMUSG00000101126","Gm10538"
"17248","ENSMUSG00000054387","Mdm4"
"240752","ENSMUSG00000026447","Pik3c2b"
"108954","ENSMUSG00000046062","Ppp1r15b"
"100502933","ENSMUSG00000101693","Gm19461"
"19701","ENSMUSG00000070645","Ren1"
"269120","ENSMUSG00000010311","Optc"
"116847","ENSMUSG00000041577","Prelp"
"14264","ENSMUSG00000041559","Fmod"
"12227","ENSMUSG00000020423","Btg2"
"71884","ENSMUSG00000026450","Chit1"
"12654","ENSMUSG00000064246","Chil1"
"17928","ENSMUSG00000026459","Myog"
"57439","ENSMUSG00000042305","Tmem183a"
"240755","ENSMUSG00000050526","Mgat4f"
"98710","ENSMUSG00000042229","Rabif"
"71001","ENSMUSG00000046367","Mgat4e"
"67196","ENSMUSG00000026429","Ube2t"
"13924","ENSMUSG00000097993","Ptprv"
