"ENTREZID","ENSEMBL","SYMBOL"
"74069","ENSMUSG00000041536","Serpina3a"
"238393","ENSMUSG00000066363","Serpina3f"
"27379","ENSMUSG00000066359","Tcl1b1"
"27382","ENSMUSG00000000701","Tcl1b5"
"12062","ENSMUSG00000021070","Bdkrb2"
"751547","ENSMUSG00000076316","Mir673"
"100526473","ENSMUSG00000070129","Mir3071"
"723935","ENSMUSG00000098838","Mir381"
"93835","ENSMUSG00000021278","Amn"
"100504687","ENSMUSG00000096995","2810029C07Rik"
"100126692","ENSMUSG00000113189","B020018J22Rik"
"102465567","ENSMUSG00000098338","Mir6941"
"319545","ENSMUSG00000112980","D430020J02Rik"
"494124","ENSMUSG00000099269","Calm5"
"238463","ENSMUSG00000021216","Tubal3"
"100316665","ENSMUSG00000080574","Mir466i"
"20379","ENSMUSG00000021319","Sfrp4"
"102465568","ENSMUSG00000098790","Mir6942"
"258536","ENSMUSG00000108534","Olfr1360"
"319186","ENSMUSG00000114279","H2bc14"
"319169","ENSMUSG00000063021","H2ac15"
"319153","ENSMUSG00000101972","H3c11"
"319170","ENSMUSG00000069309","Hist1h2an"
"319167","ENSMUSG00000069301","H2ac11"
"252907","ENSMUSG00000099787","Vmn1r192"
"171246","ENSMUSG00000101073","Vmn1r200"
"171279","ENSMUSG00000116057","Vmn1r216"
"97908","ENSMUSG00000099517","H3c8"
"319182","ENSMUSG00000114456","H2bc9"
"319166","ENSMUSG00000069272","H2ac8"
"319180","ENSMUSG00000069268","H2bc7"
"319165","ENSMUSG00000071478","H2ac7"
"319164","ENSMUSG00000069270","H2ac6"
"319172","ENSMUSG00000061615","H2ac4"
"326620","ENSMUSG00000069266","H4c2"
"214189","ENSMUSG00000021337","Scgn"
"210554","ENSMUSG00000076430","Hus1b"
"20706","ENSMUSG00000021403","Serpinb9b"
"97848","ENSMUSG00000052180","Serpinb6c"
"100503727","ENSMUSG00000102099","1700011B04Rik"
"407800","ENSMUSG00000043631","Ecm2"
"27047","ENSMUSG00000048368","Omd"
"18295","ENSMUSG00000021390","Ogn"
"218268","ENSMUSG00000074895","Eif4e1b"
"212032","ENSMUSG00000025877","Hk3"
"16841","ENSMUSG00000021539","Lect2"
"70153","ENSMUSG00000021550","2210016F16Rik"
"70900","ENSMUSG00000049902","4921517D22Rik"
"218275","ENSMUSG00000042243","BC051665"
"116911","ENSMUSG00000114867","Cts8-ps"
"66503","ENSMUSG00000097101","1810034E14Rik"
"320163","ENSMUSG00000097276","4930525G20Rik"
"94066","ENSMUSG00000021607","Mrpl36"
"74338","ENSMUSG00000021565","Slc6a19"
"77041","ENSMUSG00000021592","Arsk"
"408254","ENSMUSG00000114968","A630019I02Rik"
"268686","ENSMUSG00000021679","S100z"
"102636218","ENSMUSG00000085634","Gm15290"
"106029237","ENSMUSG00000096175","Gm21761"
"13421","ENSMUSG00000025279","Dnase1l3"
"74571","ENSMUSG00000023387","Kcnk16"
"74843","ENSMUSG00000021815","Mss51"
"59011","ENSMUSG00000068697","Myoz1"
"268721","ENSMUSG00000021819","Zswim8"
"102465773","ENSMUSG00000098751","Mir7672"
"218877","ENSMUSG00000021904","Sema3g"
"20508","ENSMUSG00000100241","Slc18a3"
"12165","ENSMUSG00000072625","Gdf2"
"75698","ENSMUSG00000041471","Shld2"
"69134","ENSMUSG00000043681","Fam25c"
"20618","ENSMUSG00000023064","Sncg"
"105450","ENSMUSG00000041445","Mmrn2"
"57811","ENSMUSG00000021804","Rgr"
"239037","ENSMUSG00000041044","Lrit1"
"239038","ENSMUSG00000043418","Lrit2"
"606497","ENSMUSG00000098682","Otx2os1"
"257884","ENSMUSG00000053815","Olfr744"
"75019","ENSMUSG00000021872","Rnase10"
"258008","ENSMUSG00000095030","Olfr1513"
"101056084","ENSMUSG00000114865","Gm29776"
"387204","ENSMUSG00000065432","Mir208a"
"100151693","ENSMUSG00000072492","Gm10364"
"105663","ENSMUSG00000045691","Thtpa"
"71099","ENSMUSG00000007591","Tssk4"
"18002","ENSMUSG00000010376","Nedd8"
"57260","ENSMUSG00000040432","Ltb4r2"
"56532","ENSMUSG00000022221","Ripk3"
"56410","ENSMUSG00000040380","Cbln3"
"14939","ENSMUSG00000015437","Gzmb"
"751526","ENSMUSG00000076270","Mir719"
"387134","ENSMUSG00000092995","Mir16-1"
"654458","ENSMUSG00000075572","Defb43"
"387233","ENSMUSG00000065597","Mir124a-1"
"105440","ENSMUSG00000034327","Kctd9"
"14714","ENSMUSG00000015812","Gnrh1"
"58860","ENSMUSG00000022057","Adamdec1"
"67065","ENSMUSG00000000776","Polr3d"
"105653","ENSMUSG00000003469","Phyhip"
"67516","ENSMUSG00000046523","Kctd4"
"629678","ENSMUSG00000067973","Gm6994"
"100043765","ENSMUSG00000115111","Gm4632"
"13709","ENSMUSG00000036461","Elf1"
"102465149","ENSMUSG00000098612","Mir6241"
"102465208","ENSMUSG00000098433","Mir6391"
"68059","ENSMUSG00000025544","Tm9sf2"
"100038608","ENSMUSG00000115667","Gm10389"
"22293","ENSMUSG00000022243","Slc45a2"
"381002","ENSMUSG00000115240","Gm5144"
"102466808","ENSMUSG00000098416","Mir7117"
"66835","ENSMUSG00000089317","Snord123"
"239368","ENSMUSG00000044726","Erich5"
"100124469","ENSMUSG00000077890","Mir875"
"100503538","ENSMUSG00000086992","Gm15941"
"69659","ENSMUSG00000060530","2310069G16Rik"
"100039911","ENSMUSG00000115245","Gm2491"
"399603","ENSMUSG00000072568","Lratd2"
"387169","ENSMUSG00000065612","Mir151"
"625599","ENSMUSG00000068349","Gml"
"13072","ENSMUSG00000022589","Cyp11b2"
"17067","ENSMUSG00000079018","Ly6c1"
"68453","ENSMUSG00000022579","Gpihbp1"
"105734","ENSMUSG00000103906","Tigd5"
"671535","ENSMUSG00000063268","Parp10"
"100526548","ENSMUSG00000093169","Mir3079"
"102465576","ENSMUSG00000099260","Mir6954"
"223669","ENSMUSG00000033669","Zfp7"
"71939","ENSMUSG00000033576","Apol6"
"74303","ENSMUSG00000097267","1700109K24Rik"
"71898","ENSMUSG00000068246","Apol9b"
"239552","ENSMUSG00000056656","Apol8"
"19293","ENSMUSG00000005716","Pvalb"
"22117","ENSMUSG00000044986","Tst"
"20607","ENSMUSG00000044933","Sstr3"
"72318","ENSMUSG00000018008","Cyth4"
"100038602","ENSMUSG00000116505","Gm10865"
"26912","ENSMUSG00000006378","Gcat"
"26912","ENSMUSG00000116378","Gcat"
"14904","ENSMUSG00000042535","Gtpbp1"
"338368","ENSMUSG00000049687","Pheta2"
"71754","ENSMUSG00000068083","Cyp2d40"
"100526477","ENSMUSG00000092751","Mir3080"
"100502602","ENSMUSG00000115924","Gm19277"
"105975","ENSMUSG00000097209","AU022754"
"546648","ENSMUSG00000091680","Klhdc7b"
"12895","ENSMUSG00000078937","Cpt1b"
"258502","ENSMUSG00000054036","Olfr279"
"100217416","ENSMUSG00000065939","Snora2b"
"13199","ENSMUSG00000059213","Ddn"
"22142","ENSMUSG00000072235","Tuba1a"
"19132","ENSMUSG00000023484","Prph"
"11831","ENSMUSG00000043144","Aqp6"
"554292","ENSMUSG00000093789","Methig1"
