"Id","Label","Degree","Betweenness","Expression"
"ENSMUSP00000031221","Cdc7",10,621.22,0
"ENSMUSP00000071794","Cpsf1",10,488.44,0
"ENSMUSP00000068530","Nup98",10,399.63,0
"ENSMUSP00000025170","Wdr46",10,0.42,0
"ENSMUSP00000030164","Vcp",9,8476.61,0
"ENSMUSP00000033075","Stx4a",9,6666.84,0
"ENSMUSP00000013949","Birc3",9,5173.55,0
"ENSMUSP00000026122","P4hb",9,5048.76,0
"ENSMUSP00000038121","Socs1",9,4526.88,0
"ENSMUSP00000055308","Foxo1",9,4500.75,0
"ENSMUSP00000016569","Pds5b",9,4207.04,0
"ENSMUSP00000113388","Atm",9,4078.96,0
"ENSMUSP00000035092","Myd88",9,3207.73,0
"ENSMUSP00000036288","Cct2",9,2919.84,0
"ENSMUSP00000001566","Tubb5",9,2282.67,0
"ENSMUSP00000009003","Rala",9,1150.29,0
"ENSMUSP00000025729","Tnks2",9,758.46,0
"ENSMUSP00000006760","Cdt1",9,564.23,0
"ENSMUSP00000031726","Gnb2",9,546.87,0
"ENSMUSP00000034411","Med17",9,370.73,0
"ENSMUSP00000019067","Med11",9,370.73,0
"ENSMUSP00000012627","Rpa3",9,164.65,0
"ENSMUSP00000069243","Cpsf4",9,81.59,0
"ENSMUSP00000038958","Cpsf7",9,55.99,0
"ENSMUSP00000059498","Rhoj",9,6.87,0
"ENSMUSP00000100771","Sf3b5",9,0.08,0
"ENSMUSP00000028098","Orc4",9,0,0
"ENSMUSP00000028225","Psmd5",9,0,0
"ENSMUSP00000027050","Cops5",8,13484.2,0
"ENSMUSP00000133564","Dnm2",8,9080.2,0
"ENSMUSP00000005077","Hspb1",8,7825.03,0
"ENSMUSP00000045841","Eprs",8,7086,0
"ENSMUSP00000028981","Mapre1",8,6449.42,0
"ENSMUSP00000068559","Xrcc6",8,6189.28,0
"ENSMUSP00000024954","Epas1",8,5248.44,0
"ENSMUSP00000024736","Sgol1",8,5048.26,0
"ENSMUSP00000010520","Nedd8",8,4718.46,0
"ENSMUSP00000103245","Klf4",8,4162.28,0
"ENSMUSP00000078682","Ctbp1",8,4155.75,0
"ENSMUSP00000034405","Mre11a",8,3866.39,0
"ENSMUSP00000083652","Rfc5",8,2959.25,0
"ENSMUSP00000089728","Usp14",8,2877.35,0
"ENSMUSP00000031695","Wasl",8,2763.33,0
"ENSMUSP00000004202","Dnmt1",8,2500.16,0
"ENSMUSP00000029053","Ptpn1",8,2123.7,0
"ENSMUSP00000066679","Chek2",8,1934.55,0
"ENSMUSP00000069257","Ppp1r12a",8,1724.94,0
"ENSMUSP00000088174","Rap1a",8,1173.52,0
"ENSMUSP00000097812","Ralgds",8,1058.03,0
"ENSMUSP00000042283","Supt16",8,947.25,0
"ENSMUSP00000021001","Rab10",8,915.18,0
"ENSMUSP00000044178","Lsm3",8,840.42,0
"ENSMUSP00000043190","Gna11",8,814.9,0
"ENSMUSP00000126565","Lsm5",8,581.23,0
"ENSMUSP00000001147","Col6a1",8,569.25,0
"ENSMUSP00000063250","Stag2",8,331.83,0
"ENSMUSP00000116205","Stag1",8,331.83,0
"ENSMUSP00000022705","Med4",8,107.82,0
"ENSMUSP00000003049","Med25",8,107.82,0
"ENSMUSP00000109164","Fip1l1",8,102.86,0
"ENSMUSP00000021085","Nup85",8,78.04,0
"ENSMUSP00000050076","Adrm1",8,0,0
"ENSMUSP00000021413","Nfkbia",7,7560.77,0
"ENSMUSP00000039500","Mis12",7,6081,0
"ENSMUSP00000029476","Sec22b",7,5611.89,0
"ENSMUSP00000023352","Prkdc",7,5213.55,0
"ENSMUSP00000029142","Eif6",7,4572.05,0
"ENSMUSP00000073974","Axin1",7,4424.34,0
"ENSMUSP00000075721","Fbxw11",7,4081.44,0
"ENSMUSP00000015100","Ppp1cb",7,3594.78,0
"ENSMUSP00000073720","Bmp4",7,3168.51,0
"ENSMUSP00000029447","Sike1",7,2759.82,0
"ENSMUSP00000069616","Egr1",7,2646.38,0
"ENSMUSP00000005066","Map2k1",7,2377.76,0
"ENSMUSP00000039027","Tsr1",7,2118.71,0
"ENSMUSP00000059129","Socs3",7,2006.24,0
"ENSMUSP00000028795","Rad51",7,1918.03,0
"ENSMUSP00000026027","Taf5",7,1857.04,0
"ENSMUSP00000040488","Ccnd3",7,1842.82,0
"ENSMUSP00000020490","Wdr82",7,1398.47,0
"ENSMUSP00000022894","Ywhaz",7,1272.81,0
"ENSMUSP00000000137","Actr2",7,1239.33,0
"ENSMUSP00000038514","Irs2",7,1151.76,0
"ENSMUSP00000028341","Anapc2",7,1151.57,0
"ENSMUSP00000066238","Rap1b",7,1013.95,0
"ENSMUSP00000051223","Ywhag",7,978.03,0
"ENSMUSP00000125434","Exoc5",7,913.32,0
"ENSMUSP00000128803","Myl6",7,911.2,0
"ENSMUSP00000025541","Gnaq",7,804.81,0
"ENSMUSP00000118318","Mllt4",7,595.58,0
"ENSMUSP00000063714","Arhgdia",7,510.05,0
"ENSMUSP00000099584","Arpc3",7,464.09,0
"ENSMUSP00000049722","Lsm6",7,419,0
"ENSMUSP00000009234","Ap1b1",7,408.99,0
"ENSMUSP00000020877","Twistnb",7,247,0
"ENSMUSP00000022613","Esco2",7,132.12,0
"ENSMUSP00000090316","Med23",7,50.31,0
"ENSMUSP00000078746","Stk24",7,32.39,0
"ENSMUSP00000120830","Strn",7,32.39,0
"ENSMUSP00000013130","Strn3",7,32.39,0
"ENSMUSP00000125415","Mob4",7,32.39,0
"ENSMUSP00000099705","Med19",7,0.17,0
"ENSMUSP00000080085","Rrp1b",7,0,0
"ENSMUSP00000099888","Ifit1",6,13436.75,0
"ENSMUSP00000103884","Prkci",6,6298.71,0
"ENSMUSP00000036206","Chmp4b",6,6077,0
"ENSMUSP00000020316","Tbk1",6,4316.46,0
"ENSMUSP00000099835","Sqstm1",6,4084.35,0
"ENSMUSP00000099534","B2m",6,3857.1,0
"ENSMUSP00000022709","Spry2",6,3784.93,0
"ENSMUSP00000033898","Col4a1",6,3723.53,0
"ENSMUSP00000030814","Cdk5",6,3056.89,0
"ENSMUSP00000039776","Pold1",6,2075.85,0
"ENSMUSP00000001818","Crnkl1",6,2041.54,0
"ENSMUSP00000025278","Mrpl27",6,2031,0
"ENSMUSP00000033880","Eif4ebp1",6,1838.99,0
"ENSMUSP00000021530","Hif1a",6,1836.84,0
"ENSMUSP00000008517","Prpf31",6,1814.01,0
"ENSMUSP00000125403","Cul2",6,1627.89,0
"ENSMUSP00000046129","Akap9",6,1447.25,0
"ENSMUSP00000042150","Rras",6,1123.41,0
"ENSMUSP00000110198","Cetn2",6,933.5,0
"ENSMUSP00000019997","Tnfaip3",6,906.42,0
"ENSMUSP00000007216","Ap2m1",6,814.75,0
"ENSMUSP00000072617","Hsf1",6,648.76,0
"ENSMUSP00000029679","Cks1b",6,372.18,0
"ENSMUSP00000025025","Dusp1",6,345.48,0
"ENSMUSP00000028767","Rtf1",6,334.53,0
"ENSMUSP00000030901","Cpsf3l",6,318.86,0
"ENSMUSP00000036523","Esf1",6,306.43,0
"ENSMUSP00000060054","Chd4",6,285.02,0
"ENSMUSP00000107421","Wdhd1",6,274.39,0
"ENSMUSP00000041644","Brk1",6,261.18,0
"ENSMUSP00000032344","Arhgdib",6,259.72,0
"ENSMUSP00000106963","Arhgap1",6,259.72,0
"ENSMUSP00000029694","Arhgef2",6,259.72,0
"ENSMUSP00000025019","Arhgdig",6,259.72,0
"ENSMUSP00000072521","Gm10146",6,187.77,0
"ENSMUSP00000028668","Eif3j1",6,59.7,0
"ENSMUSP00000022203","Dimt1",6,12.65,0
